recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
5f4560c565e28d13e5dd5d56,1,[1],1,[],0.0,0.0,[],set(),{1},12,0.08333333333333333
5f4560c565e28d13e5dd5d56,2,[4],1,[],0.0,0.0,[],set(),{4},12,0.16666666666666666
5f4560c565e28d13e5dd5d56,3,"[6, 8, 9, 10, 11]",5,[],0.0,0.0,[],set(),"{6, 8, 9, 10, 11}",12,0.25
5f4560c565e28d13e5dd5d56,4,"[12, 14]",2,[],0.0,0.0,[],set(),"{12, 14}",12,0.3333333333333333
5f4560c565e28d13e5dd5d56,5,[12],1,[],0.0,0.0,[],set(),{12},12,0.4166666666666667
5f4560c565e28d13e5dd5d56,6,"[13, 14, 15]",3,[],0.0,0.0,[],set(),"{13, 14, 15}",12,0.5
5f4560c565e28d13e5dd5d56,7,"[16, 17, 19, 20, 21]",5,[],0.0,0.0,[],set(),"{16, 17, 19, 20, 21}",12,0.5833333333333334
5f4560c565e28d13e5dd5d56,8,[20],1,[],0.0,0.0,[],set(),{20},12,0.6666666666666666
5f4560c565e28d13e5dd5d56,9,"[24, 25, 26]",3,[],0.0,0.0,[],set(),"{24, 25, 26}",12,0.75
5f4560c565e28d13e5dd5d56,10,[25],1,[],0.0,0.0,[],set(),{25},12,0.8333333333333334
5f4560c565e28d13e5dd5d56,11,[28],1,[],0.0,0.0,[],set(),{28},12,0.9166666666666666
5f4560c565e28d13e5dd5d56,12,[28],1,[],0.0,0.0,[],set(),{28},12,1.0
5b3f93fc1388aa0001a80aaf,1,[1],1,[],0.0,0.0,[],set(),{1},30,0.03333333333333333
5b3f93fc1388aa0001a80aaf,2,[1],1,[],0.0,0.0,[],set(),{1},30,0.06666666666666667
5b3f93fc1388aa0001a80aaf,3,[2],1,[],0.0,0.0,[],set(),{2},30,0.1
5b3f93fc1388aa0001a80aaf,4,[3],1,[],0.0,0.0,[],set(),{3},30,0.13333333333333333
5b3f93fc1388aa0001a80aaf,5,[5],1,[],0.0,0.0,[],set(),{5},30,0.16666666666666666
5b3f93fc1388aa0001a80aaf,6,[4],1,[],0.0,0.0,[],set(),{4},30,0.2
5b3f93fc1388aa0001a80aaf,7,[6],1,[],0.0,0.0,[],set(),{6},30,0.23333333333333334
5b3f93fc1388aa0001a80aaf,8,[7],1,[],0.0,0.0,[],set(),{7},30,0.26666666666666666
5b3f93fc1388aa0001a80aaf,9,[9],1,[],0.0,0.0,[],set(),{9},30,0.3
5b3f93fc1388aa0001a80aaf,10,[9],1,[],0.0,0.0,[],set(),{9},30,0.3333333333333333
5b3f93fc1388aa0001a80aaf,11,[10],1,[],0.0,0.0,[],set(),{10},30,0.36666666666666664
5b3f93fc1388aa0001a80aaf,12,[11],1,[],0.0,0.0,[],set(),{11},30,0.4
5b3f93fc1388aa0001a80aaf,13,[12],1,[],0.0,0.0,[],set(),{12},30,0.43333333333333335
5b3f93fc1388aa0001a80aaf,14,[12],1,[],0.0,0.0,[],set(),{12},30,0.4666666666666667
5b3f93fc1388aa0001a80aaf,15,[12],1,[],0.0,0.0,[],set(),{12},30,0.5
5b3f93fc1388aa0001a80aaf,16,[13],1,[],0.0,0.0,[],set(),{13},30,0.5333333333333333
5b3f93fc1388aa0001a80aaf,17,[14],1,[],0.0,0.0,[],set(),{14},30,0.5666666666666667
5b3f93fc1388aa0001a80aaf,18,"[16, 17]",2,[],0.0,0.0,[],set(),"{16, 17}",30,0.6
5b3f93fc1388aa0001a80aaf,19,[17],1,[],0.0,0.0,[],set(),{17},30,0.6333333333333333
5b3f93fc1388aa0001a80aaf,20,[18],1,[],0.0,0.0,[],set(),{18},30,0.6666666666666666
5b3f93fc1388aa0001a80aaf,21,[20],1,[],0.0,0.0,[],set(),{20},30,0.7
5b3f93fc1388aa0001a80aaf,22,[20],1,[],0.0,0.0,[],set(),{20},30,0.7333333333333333
5b3f93fc1388aa0001a80aaf,23,[20],1,[],0.0,0.0,[],set(),{20},30,0.7666666666666667
5b3f93fc1388aa0001a80aaf,24,[22],1,[],0.0,0.0,[],set(),{22},30,0.8
5b3f93fc1388aa0001a80aaf,25,[23],1,[],0.0,0.0,[],set(),{23},30,0.8333333333333334
5b3f93fc1388aa0001a80aaf,26,"[24, 25]",2,[],0.0,0.0,[],set(),"{24, 25}",30,0.8666666666666667
5b3f93fc1388aa0001a80aaf,27,[26],1,[],0.0,0.0,[],set(),{26},30,0.9
5b3f93fc1388aa0001a80aaf,28,[28],1,[],0.0,0.0,[],set(),{28},30,0.9333333333333333
5b3f93fc1388aa0001a80aaf,29,[28],1,[],0.0,0.0,[],set(),{28},30,0.9666666666666667
5b3f93fc1388aa0001a80aaf,30,[28],1,[],0.0,0.0,[],set(),{28},30,1.0
5b3f93fc1388aa0001a80aaf,1,[29],1,[],0.0,0.0,[],set(),{29},30,0.03333333333333333
5b3f93fc1388aa0001a80aaf,2,[30],1,[],0.0,0.0,[],set(),{30},30,0.06666666666666667
5b3f93fc1388aa0001a80aaf,3,[32],1,[],0.0,0.0,[],set(),{32},30,0.1
